Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\CopyMoveResult.cs,90,15,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,return TimeSpan.FromMilliseconds(Stopwatch.Elapsed.TotalMilliseconds);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\TransactionException.cs,54,87,"M:System.SystemException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\TransactionException.cs,54,87,"M:System.SystemException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\UnrecognizedReparsePointException.cs,68,100,"M:System.IO.IOException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\UnrecognizedReparsePointException.cs,68,100,"M:System.IO.IOException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\FileReadOnlyException.cs,59,88,"M:System.UnauthorizedAccessException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\FileReadOnlyException.cs,59,88,"M:System.UnauthorizedAccessException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\NotSameDeviceException.cs,70,89,"M:System.IO.IOException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\NotSameDeviceException.cs,70,89,"M:System.IO.IOException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\DirectoryReadOnlyException.cs,59,93,"M:System.UnauthorizedAccessException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\DirectoryReadOnlyException.cs,59,93,"M:System.UnauthorizedAccessException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\DeviceNotReadyException.cs,70,90,"M:System.IO.IOException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\DeviceNotReadyException.cs,70,90,"M:System.IO.IOException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Device\DeviceInfo.cs,30,4,T:System.Security.Permissions.SecurityPermissionAttribute,,,,,"SecurityPermission(SecurityAction.InheritanceDemand, UnmanagedCode = true)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\NotAReparsePointException.cs,68,92,"M:System.IO.IOException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\NotAReparsePointException.cs,68,92,"M:System.IO.IOException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\KernelTransaction.cs,153,7,T:System.Security.Permissions.SecurityPermissionAttribute,,,,,"SecurityPermissionAttribute(SecurityAction.Demand, UnmanagedCode = true)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\AlphaFS\AlphaFS.csproj,File,src\AlphaFS\Filesystem\Exceptions\AlreadyExistsException.cs,74,89,"M:System.IO.IOException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
